"","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"1",2002,0,0.229443134045712,0,0,0.979336259524572,0,NA,20.8795350731423,NA,NA,15.1679957064998,NA,62,0,22,0,351
"2",2003,0,0.253306807065148,0,0,0.85738017130853,0,NA,22.3264328685359,NA,NA,14.0113584153993,NA,65,0,25,0,384
"3",2004,0,0.149134830009935,0,0,0.608448796895532,0,NA,33.8695639959529,NA,NA,14.0391333216189,NA,72,0,18,0,401
"4",2005,0,0.246614900010398,0,0,0.859587396705694,0,NA,28.4158713092503,NA,NA,14.370838524038,NA,54,0,19,0,400
"5",2006,0,0.438385674841894,0,0,2.13053161307811,0,NA,30.246628819033,NA,NA,15.3367009468684,NA,57,0,22,0,380
"6",2007,0,0.586825436009417,0,0,3.53529326447965,0,NA,29.0560076586718,NA,NA,18.9966713082728,NA,50,0,30,0,407
"7",2008,0,0.996078053915912,0,0,4.11902693455449,0,NA,24.3925689697393,NA,NA,16.7848937637657,NA,60,0,35,0,388
"8",2009,0,1.73912017599445,0,0,8.73029220578685,0,NA,21.2015346673333,NA,NA,18.7378577126889,NA,60,0,36,0,415
"9",2010,0,1.03154391941472,0,0,7.59617333595421,0,NA,26.3750294609193,NA,NA,18.6056796877262,NA,59,0,34,0,407
"10",2011,0,1.07296416489775,0,0,5.18029961022248,0,NA,25.4308650791666,NA,NA,20.3967188925826,NA,52,0,32,0,400
"11",2012,0,0.79665854545525,0.00468328883882814,0,5.40291743245306,0.0317619424945197,NA,17.7240046202647,107.403897404819,NA,19.0219274665241,19.0975073422105,58,0,37,1,365
"12",2013,0,1.16429949567751,0.060534104539187,0,6.08156784662656,0.316192066694683,NA,17.0842310610684,79.1566305831749,NA,17.17083877288,17.2837631597922,59,0,45,2,381
"13",2014,0,0.803211183722348,0.12315134943978,0,4.78485533927316,0.733631956137352,NA,18.0949773209812,53.9440397860126,NA,17.4903441943568,17.5193163113021,68,0,48,5,403
"14",2015,0,1.2579504260238,0.0234315588596179,0,6.08627681523748,0.113367705500873,NA,16.0469688160606,75.7679061049387,NA,18.6851028410759,18.768747607455,48,0,38,2,345
"15",2016,0,0.857348642579091,0.095167764804916,0,6.96438220133857,0.773063202566847,NA,19.2215312925296,55.5408518291256,NA,18.1956685024992,18.2587807762813,54,0,36,6,381
"16",2017,0,0.47727652458305,0.125229740814119,0,4.02390840120297,1.05580932685224,NA,28.1507479126973,67.8754133460686,NA,20.7714572167442,20.9319699897554,44,0,32,3,404
"17",2018,0,0.60362396539699,0.0362095670282557,0,3.01250095351027,0.180710775999548,NA,24.5400646530552,82.8700797803358,NA,16.7538051907173,16.9137435985111,57,0,33,2,392
"18",2019,0,0.293925475270856,0.00272726188951994,0,1.723199997691,0.0159891471720604,NA,26.6005328616529,113.695960756871,NA,19.644775555868,19.7854111984053,57,0,31,1,413
