"","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"1",2005,0,0.221179902400643,0,0,0.807315808241238,0,NA,18.6652520529757,NA,NA,9.1056377108395,NA,253,0,84,0,1536
"2",2006,0,0.331531830981546,0,0,1.38467132203358,0,NA,21.2116271236654,NA,NA,8.41159568661939,NA,310,0,106,0,1916
"3",2007,0,0.462788384757917,0,0,2.2843370637919,0,NA,20.3130175769197,NA,NA,9.34845028409848,NA,361,0,137,0,2326
"4",2008,0,0.734912573155231,0,0,3.30717189784156,0,NA,17.9937526349294,NA,NA,10.2192970572666,NA,420,0,171,0,2712
"5",2009,0,1.24349343357385,0,0,5.91170039388308,0,NA,15.8228178837214,NA,NA,10.3934891550154,NA,481,0,208,0,3129
"6",2010,0,1.1356966938978,0,0,6.53377215602911,0,NA,14.8216967504586,NA,NA,9.64746140322163,NA,539,0,241,0,3535
"7",2011,0,1.10427957713795,0,0,5.81017346379295,0,NA,14.4382284082809,NA,NA,11.8407115914043,NA,591,0,273,0,3935
"8",2012,0,0.9550904955044,0.00226626903261969,0,5.63766749248497,0.0133772363085635,NA,11.2083993054951,107.387026151665,NA,10.5484846269794,10.6205155089777,587,0,288,1,3949
"9",2013,0,1.06114651067267,0.0317967134453138,0,5.88741563180179,0.176413403705389,NA,10.7178607601674,76.4514030606297,NA,10.4505155407902,10.5443774043483,581,0,308,3,3946
"10",2014,0,0.929345216862716,0.0775738882447613,0,5.33959926968912,0.445704641830486,NA,9.93111214603173,45.6458235674258,NA,10.0326324536404,10.0588273321659,578,0,338,8,3952
"11",2015,0,1.09112045671684,0.0508527373001369,0,5.72893873973536,0.267002799688085,NA,10.0774552824939,39.2666238062843,NA,11.0296735335783,11.0692245097649,573,0,357,10,3902
"12",2016,0,0.965577100443687,0.0722952898412379,0,6.19770547918144,0.464038463383362,NA,10.1411023468059,38.5428467496146,NA,9.76394955518986,9.79539343907712,570,0,371,16,3938
"13",2017,0,0.721885322312059,0.0971655502409956,0,5.3004269813284,0.713435899352389,NA,11.5468031062243,46.3546452927396,NA,10.678702373642,10.748694436877,565,0,375,19,3947
"14",2018,0,0.660841248746889,0.0661069551865129,0,3.91687181752327,0.391822499281519,NA,13.0162136319524,40.6574957866023,NA,11.0164430060711,11.091490984853,562,0,373,21,3953
"15",2019,0,0.476723572634935,0.0344487742531189,0,2.81123970287229,0.203144479221743,NA,12.2081739330758,39.3238170853328,NA,11.2871329772001,11.3449804021051,559,0,368,22,3954
