"","lambda","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"1",0.05,2005,0,0.242226465341982,0,0,0.849839935471122,0,NA,27.5689583615712,NA,NA,13.7872608555879,NA,253,0,84,0,1536
"2",0.1,2005,0,0.238297455952555,0,0,0.841011385064539,0,NA,26.6634140164243,NA,NA,13.2038260596253,NA,253,0,84,0,1536
"3",0.15,2005,0,0.234815068800688,0,0,0.833183123906932,0,NA,25.7058804767351,NA,NA,12.6241572858598,NA,253,0,84,0,1536
"4",0.2,2005,0,0.231763575835843,0,0,0.826407394416835,0,NA,24.7068682974471,NA,NA,12.0530020750071,NA,253,0,84,0,1536
"5",0.25,2005,0,0.229123549787937,0,0,0.820706581489293,0,NA,23.6798084097347,NA,NA,11.4957693206453,NA,253,0,84,0,1536
"6",0.3,2005,0,0.226871752504044,0,0,0.816074576820497,0,NA,22.6399819980588,NA,NA,10.9581055133799,NA,253,0,84,0,1536
"7",0.35,2005,0,0.224981538951433,0,0,0.812479847094097,0,NA,21.6034320021416,NA,NA,10.4455269726356,NA,253,0,84,0,1536
"8",0.4,2005,0,0.223423612712078,0,0,0.809869687587141,0,NA,20.5859545679989,NA,NA,9.96311754855167,NA,253,0,84,0,1536
"9",0.45,2005,0,0.222166971594223,0,0,0.808175103751874,0,NA,19.6022463313231,NA,NA,9.51529421261907,NA,253,0,84,0,1536
"10",0.5,2005,0,0.221179902400643,0,0,0.807315808241238,0,NA,18.6652520529757,NA,NA,9.1056377108395,NA,253,0,84,0,1536
"11",0.55,2005,0,0.220430915781136,0,0,0.807204922481167,0,NA,17.7857255540335,NA,NA,8.73678282985724,NA,253,0,84,0,1536
"12",0.6,2005,0,0.219889548272506,0,0,0.80775309943868,0,NA,16.971991754892,NA,NA,8.41036264107165,NA,253,0,84,0,1536
"13",0.65,2005,0,0.219526992906785,0,0,0.808871911163393,0,NA,16.2298820731216,NA,NA,8.12700232289849,NA,253,0,84,0,1536
