"","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"1",2005,0,0.220060221349763,0,0,0.826333980771623,0,NA,13.081187429945,NA,NA,7.22623516199725,NA,253,0,84,0,1536
"2",2006,0,0.263336811123449,0,0,1.03317202917398,0,NA,13.2919509471484,NA,NA,6.51210173854802,NA,310,0,106,0,1916
"3",2007,0,0.31891189514106,0,0,1.3263819485719,0,NA,12.9038232271741,NA,NA,6.15540424331648,NA,361,0,137,0,2326
"4",2008,0,0.418135819868537,0,0,1.74438595722338,0,NA,11.983529412302,NA,NA,5.81667858957549,NA,420,0,171,0,2712
"5",2009,0,0.588861762051172,0,0,2.51224746809411,0,NA,10.9204377896868,NA,NA,5.56418254598381,NA,481,0,208,0,3129
"6",2010,0,0.638965309705112,0,0,2.86673362148444,0,NA,10.1720514560287,NA,NA,5.34299721139849,NA,539,0,241,0,3535
"7",2011,0,0.68257496737799,0,0,3.07942190522517,0,NA,9.46519411559855,NA,NA,5.21246477973274,NA,591,0,273,0,3935
"8",2012,0,0.734811953218249,0.000442925463496924,0,3.44766165425655,0.00207816044568154,NA,8.93202754071989,107.383490657982,NA,5.33703182182009,5.45866001532443,587,0,288,1,3949
"9",2013,0,0.82574313484917,0.00651005382598583,0,4.06790411550041,0.0320708385370884,NA,8.27386603099628,74.1224823246185,NA,5.4639605212763,5.54158262096991,581,0,308,3,3946
"10",2014,0,0.884734299519862,0.0186988390278294,0,4.53161190828627,0.0957755132310628,NA,7.81559047796547,43.5928980766017,NA,5.6127729213837,5.64724440539886,578,0,338,8,3952
"11",2015,0,0.986582144983201,0.0210836986400662,0,5.27800126956756,0.112793231415458,NA,7.290729953982,39.74701589176,NA,5.79556056607641,5.82758801656305,573,0,357,10,3902
"12",2016,0,1.02296078414918,0.0301973125433916,0,5.7409379273752,0.169469738792918,NA,7.06648006163324,32.4165700785644,NA,5.93745339736973,5.96178093525417,570,0,371,16,3938
"13",2017,0,1.01366723100984,0.0421231169558134,0,5.88539070685406,0.244568427874004,NA,7.04677383582823,30.6646627131374,NA,6.00096158130808,6.0275610339576,565,0,375,19,3947
"14",2018,0,0.973729089265746,0.0458417991894642,0,5.76088066830647,0.271214178216768,NA,7.05186735662443,28.9502414181886,NA,5.97354014732773,6.00195242021289,562,0,373,21,3953
"15",2019,0,0.825166011452941,0.0461326149711879,0,4.9843381863552,0.278659749972539,NA,7.03562262684581,28.7840494678233,NA,5.99780465828693,6.02649232832381,559,0,368,22,3954
