"","YEAR","RECR_TPA","MORT_TPA","REMV_TPA","RECR_PERC","MORT_PERC","REMV_PERC","RECR_TPA_SE","MORT_TPA_SE","REMV_TPA_SE","RECR_PERC_SE","MORT_PERC_SE","REMV_PERC_SE","nPlots_TREE","nPlots_RECR","nPlots_MORT","nPlots_REMV","nPlots_AREA"
"1",2005,0,0.210676086300067,0,0,0.805679634587653,0,NA,13.0340900318646,NA,NA,7.1635373724941,NA,253,0,84,0,1536
"2",2006,0,0.252527200616718,0,0,1.01274575037081,0,NA,13.4195517116933,NA,NA,6.4752516496363,NA,310,0,106,0,1916
"3",2007,0,0.30924812469865,0,0,1.29594911797215,0,NA,12.8631473421251,NA,NA,6.1139417915704,NA,361,0,137,0,2326
"4",2008,0,0.422711805644862,0,0,1.77441219512722,0,NA,12.530884030173,NA,NA,5.72241975042638,NA,420,0,171,0,2712
"5",2009,0,0.589374531398096,0,0,2.53266490642101,0,NA,11.5286215808948,NA,NA,5.44207044978545,NA,481,0,208,0,3129
"6",2010,0,0.648053724682403,0,0,2.9508103113011,0,NA,10.6080905064562,NA,NA,5.2578906837062,NA,539,0,241,0,3535
"7",2011,0,0.696221968416308,0,0,3.19311877075862,0,NA,9.76754219475797,NA,NA,5.13625819509199,NA,591,0,273,0,3935
"8",2012,0,0.742321966666877,0.000488281987892979,0,3.52864573593281,0.0023210604453048,NA,9.11719559027171,102.050233917294,NA,5.25299085896103,5.37446695274074,587,0,288,1,3949
"9",2013,0,0.82213761084029,0.00659649828089826,0,4.08617141767449,0.0327857798703502,NA,8.42168479740636,70.3922167090911,NA,5.3600194320856,5.43040777263832,581,0,308,3,3946
"10",2014,0,0.891477467528615,0.0212169999889305,0,4.64094111911999,0.11045354623036,NA,7.75025171728582,40.5650921174694,NA,5.52342741342222,5.55538098883755,578,0,338,8,3952
"11",2015,0,0.980561599134049,0.0230961837470514,0,5.28583690087663,0.124502795568789,NA,7.27852240445669,37.9842638209827,NA,5.61145549658545,5.64262679213464,573,0,357,10,3902
"12",2016,0,1.02027984169809,0.0324255586379838,0,5.76701210942742,0.183281666144626,NA,7.0498979972804,31.520865696719,NA,5.72721455158363,5.75211545441343,570,0,371,16,3938
"13",2017,0,1.01534599824877,0.0437019514483381,0,5.91348857851195,0.254525049780236,NA,7.04552084979041,29.6932585967031,NA,5.7932696373759,5.82126927714979,565,0,375,19,3947
"14",2018,0,0.96607401627391,0.0461426511746463,0,5.75268623044631,0.274765897412786,NA,7.17745081664809,28.52822546618,NA,5.79831570654308,5.82640643283182,562,0,373,21,3953
"15",2019,0,0.823824002669465,0.0463863516234067,0,4.98443738611001,0.280654441346399,NA,7.22994111327898,28.3603646507777,NA,5.82443464909071,5.85178906946557,559,0,368,22,3954
